link;title;score
https://physics.stackexchange.com/questions/28891/gravimagnetic-monopole-and-general-relativity;Gravimagnetic monopole and General relativity;1
https://physics.stackexchange.com/questions/158367/does-the-outflowing-water-create-a-thrust-on-the-bucket;Does the outflowing water create a thrust on the bucket?;3
https://physics.stackexchange.com/questions/87122/are-there-any-good-video-lectures-for-learning-general-relativity-at-the-level-o;Are there any good video lectures for learning general relativity at the level of Hobson?;4
https://physics.stackexchange.com/questions/82986/are-there-any-models-that-explain-the-cause-of-the-dual-symmetry-breaking-of-the;Are there any models that explain the cause of the dual symmetry-breaking of the in electrodynamics?;3
https://physics.stackexchange.com/questions/27755/magnetic-monopole-and-electromagnetic-field-quantization-procedure;Magnetic monopole and electromagnetic field quantization procedure;18
https://physics.stackexchange.com/questions/20055/does-the-stress-energy-tensor-contain-the-equations-of-motion;Does the stress-energy tensor contain the equations of motion?;8
https://physics.stackexchange.com/questions/1503/does-the-energy-of-a-magnetic-field-decrease-when-it-moves-a-conductor-carrying;Does the energy of a magnetic field decrease when it moves a conductor carrying a current?;2
https://physics.stackexchange.com/questions/51722/homogeneous-gravitational-field-and-the-geodesic-deviation;Homogeneous gravitational field and the geodesic deviation;1
https://physics.stackexchange.com/questions/17719/what-type-of-symmetry-specifies-in-presence-of-what-each-not-charged-particle-f;What type of symmetry specifies in presence of what each not-charged particle (for example, neutrino) should have an antiparticle?;1
https://physics.stackexchange.com/questions/22460/the-quantum-mechanical-description-of-an-electron-motion-in-a-magnetic-monopole;The quantum-mechanical description of an electron motion in a magnetic monopole field;5
https://physics.stackexchange.com/questions/22178/quantum-entanglement-of-spin-along-multiple-orthogonal-axes;Quantum entanglement of spin along multiple orthogonal axes;5
https://physics.stackexchange.com/questions/20287/equation-hq-p-e-is-the-equation-of-motion-or-energy-conservation-law;Equation $H(q,p)=E$ is the equation of motion or energy-conservation law?;0
https://physics.stackexchange.com/questions/17772/if-lhc-searches-of-a-higgs-boson-wont-be-a-success-what-consequences-for-the-t;If LHC searches of a Higgs boson won't be a success, what consequences for the theory of electroweak interaction it can bear?;3
https://physics.stackexchange.com/questions/1819/what-does-an-atom-radiate-a-wave-packet-or-a-single-photon;What does an atom radiate: a wave packet or a single photon?;7
